"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2024","11.33","12.11","12.33","10.76","","-3.33%"
"03/12/2024","11.72","13.84","15.40","11.71","","-26.24%"
"03/11/2024","15.89","17.35","17.35","14.59","","25.91%"
"03/08/2024","12.62","11.58","14.40","9.24","","1.37%"
"03/07/2024","12.45","13.73","14.32","12.30","","-15.13%"
"03/06/2024","14.67","13.44","15.68","13.42","","0.14%"
"03/05/2024","14.65","14.61","16.14","14.01","","9.17%"
"03/04/2024","13.42","17.58","17.66","12.43","","-4.01%"
"03/01/2024","13.98","15.10","16.00","13.98","","-11.69%"
"02/29/2024","15.83","15.35","17.11","15.21","","-2.34%"
"02/28/2024","16.21","16.08","16.30","15.29","","4.45%"
"02/27/2024","15.52","16.05","16.47","15.51","","-3.72%"
"02/26/2024","16.12","19.42","19.42","15.82","","-0.19%"
"02/23/2024","16.15","17.08","17.95","15.90","","-10.53%"
"02/22/2024","18.05","17.71","19.03","16.96","","3.68%"
"02/21/2024","17.41","18.10","19.07","17.03","","1.34%"
"02/20/2024","17.18","17.48","17.65","15.26","","29.17%"
"02/16/2024","13.30","13.21","14.20","11.78","","0.76%"
"02/15/2024","13.20","13.96","14.20","13.14","","-6.78%"
"02/14/2024","14.16","14.02","16.41","13.65","","-8.70%"
"02/13/2024","15.51","16.51","19.54","15.15","","6.67%"
"02/12/2024","14.54","17.25","17.25","13.97","","5.36%"
"02/09/2024","13.80","14.41","14.49","13.34","","-3.16%"
"02/08/2024","14.25","15.18","15.36","14.12","","-5.50%"
"02/07/2024","15.08","15.16","16.32","14.97","","2.45%"
"02/06/2024","14.72","13.98","16.32","13.98","","5.67%"
"02/05/2024","13.93","20.81","20.81","13.66","","-15.22%"
"02/02/2024","16.43","17.06","17.95","16.18","","17.44%"
"02/01/2024","13.99","14.32","16.04","13.59","","-8.62%"
"01/31/2024","15.31","12.83","15.88","12.61","","48.64%"
"01/30/2024","10.30","11.51","11.57","9.99","","-9.57%"
"01/29/2024","11.39","14.49","14.49","11.02","","6.55%"
"01/26/2024","10.69","11.02","12.13","10.43","","-0.83%"
"01/25/2024","10.78","10.94","11.19","10.20","","0.84%"
"01/24/2024","10.69","10.74","11.02","10.07","","4.60%"
"01/23/2024","10.22","11.25","11.45","10.22","","-5.55%"
"01/22/2024","10.82","13.60","13.60","10.78","","-10.06%"
"01/19/2024","12.03","13.43","13.97","12.01","","-15.28%"
"01/18/2024","14.20","14.56","15.91","14.20","","-10.35%"
"01/17/2024","15.84","16.99","17.37","15.62","","12.82%"
"01/16/2024","14.04","17.25","17.25","12.99","","23.70%"
"01/12/2024","11.35","11.06","12.49","11.03","","4.13%"
"01/11/2024","10.90","11.32","13.31","10.80","","-9.62%"
"01/10/2024","12.06","12.33","12.57","11.92","","-3.13%"
"01/09/2024","12.45","13.71","14.05","12.27","","-4.96%"
"01/08/2024","13.10","17.58","17.58","11.63","","-9.22%"
"01/05/2024","14.43","14.67","15.93","13.78","","-9.19%"
"01/04/2024","15.89","16.08","16.20","14.68","","-0.25%"
"01/03/2024","15.93","15.32","16.35","14.10","","14.77%"
"01/02/2024","13.88","17.76","17.76","13.51","","-2.53%"
"12/29/2023","14.24","14.56","16.69","13.74","","-6.01%"
"12/28/2023","15.15","14.98","15.93","14.51","","-4.72%"
"12/27/2023","15.90","17.39","17.48","15.12","","-10.92%"
"12/26/2023","17.85","20.70","20.71","17.61","","-12.84%"
"12/22/2023","20.48","20.70","22.04","20.19","","-3.17%"
